Date;Price
28-02-1991;912.224
29-03-1991;885.059
30-04-1991;891.704
31-05-1991;911.635
28-06-1991;855.081
31-07-1991;895.189
30-08-1991;892.068
30-09-1991;915.185
31-10-1991;929.747
29-11-1991;888.950
31-12-1991;953.376
31-01-1992;935.445
28-02-1992;919.024
31-03-1992;875.450
30-04-1992;887.368
29-05-1992;922.382
30-06-1992;891.197
31-07-1992;893.181
31-08-1992;914.607
30-09-1992;905.929
30-10-1992;881.100
30-11-1992;896.586
31-12-1992;903.550
29-01-1993;906.301
26-02-1993;927.499
31-03-1993;981.000
30-04-1993;1026.195
31-05-1993;1049.573
30-06-1993;1040.498
30-07-1993;1061.664
31-08-1993;1110.067
30-09-1993;1089.292
29-10-1993;1119.047
30-11-1993;1055.482
31-12-1993;1106.871
31-01-1994;1179.617
28-02-1994;1164.091
31-03-1994;1113.644
29-04-1994;1147.809
31-05-1994;1150.502
30-06-1994;1147.044
29-07-1994;1168.588
31-08-1994;1203.514
30-09-1994;1171.626
31-10-1994;1204.684
30-11-1994;1152.169
30-12-1994;1163.056
31-01-1995;1145.319
28-02-1995;1161.738
31-03-1995;1217.451
28-04-1995;1259.598
31-05-1995;1270.088
30-06-1995;1269.412
31-07-1995;1332.640
31-08-1995;1302.664
29-09-1995;1340.324
31-10-1995;1318.933
30-11-1995;1364.441
29-12-1995;1404.045
31-01-1996;1429.154
29-02-1996;1437.564
29-03-1996;1461.188
30-04-1996;1495.247
31-05-1996;1496.240
28-06-1996;1503.506
31-07-1996;1450.069
30-08-1996;1466.435
30-09-1996;1523.547
31-10-1996;1533.881
29-11-1996;1619.535
31-12-1996;1593.294
31-01-1997;1612.197
28-02-1997;1630.438
31-03-1997;1597.883
30-04-1997;1649.809
30-05-1997;1751.340
30-06-1997;1838.388
31-07-1997;1922.758
29-08-1997;1793.832
30-09-1997;1890.983
31-10-1997;1791.153
28-11-1997;1822.544
31-12-1997;1844.451
30-01-1998;1895.546
27-02-1998;2023.462
31-03-1998;2108.595
30-04-1998;2128.884
29-05-1998;2101.886
30-06-1998;2151.450
31-07-1998;2147.679
31-08-1998;1860.958
30-09-1998;1893.551
30-10-1998;2064.403
30-11-1998;2186.848
31-12-1998;2293.354
29-01-1999;2343.238
26-02-1999;2280.572
31-03-1999;2375.193
30-04-1999;2468.493
31-05-1999;2377.959
30-06-1999;2488.537
30-07-1999;2480.736
31-08-1999;2475.989
30-09-1999;2451.644
29-10-1999;2578.744
30-11-1999;2650.956
31-12-1999;2865.199
31-01-2000;2700.790
29-02-2000;2707.750
31-03-2000;2894.570
28-04-2000;2771.849
31-05-2000;2701.344
30-06-2000;2791.969
31-07-2000;2713.038
31-08-2000;2800.953
29-09-2000;2651.690
31-10-2000;2606.936
30-11-2000;2448.334
29-12-2000;2487.613
31-01-2001;2535.516
28-02-2001;2320.954
30-03-2001;2168.117
30-04-2001;2327.938
31-05-2001;2297.603
29-06-2001;2225.293
31-07-2001;2195.549
31-08-2001;2089.841
28-09-2001;1905.414
31-10-2001;1941.798
30-11-2001;2056.380
31-12-2001;2069.099
31-01-2002;2006.204
28-02-2002;1988.559
29-03-2002;2076.155
30-04-2002;2005.587
31-05-2002;2008.931
28-06-2002;1886.694
31-07-2002;1727.499
30-08-2002;1730.449
30-09-2002;1539.926
31-10-2002;1653.394
29-11-2002;1742.287
31-12-2002;1657.636
31-01-2003;1607.121
28-02-2003;1578.994
31-03-2003;1573.782
30-04-2003;1713.248
30-05-2003;1810.790
30-06-2003;1841.901
31-07-2003;1879.089
29-08-2003;1919.456
30-09-2003;1931.008
31-10-2003;2045.405
28-11-2003;2076.320
31-12-2003;2206.423
30-01-2004;2241.827
27-02-2004;2279.367
31-03-2004;2264.242
30-04-2004;2217.867
31-05-2004;2238.074
30-06-2004;2284.019
30-07-2004;2209.446
31-08-2004;2219.157
30-09-2004;2261.138
29-10-2004;2316.469
30-11-2004;2438.156
31-12-2004;2531.228
31-01-2005;2474.239
28-02-2005;2552.618
31-03-2005;2503.068
29-04-2005;2448.528
31-05-2005;2492.032
